127.0.0.1, 2016-07-24 11:29:56, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:29:56, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:29:56, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-24 11:29:56, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:29:56, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:29:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-24 11:29:59, GET, /plocme/default/index, HTTP/1.1, 500, 0.314000
127.0.0.1, 2016-07-24 11:30:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-24 11:30:02, GET, /admin/default/ticket/plocme/127.0.0.1.2016-07-24.11-29-59.c2520607-60bf-4c95-9c58-42391bffe227, HTTP/1.1, 200, 0.103000
127.0.0.1, 2016-07-24 11:30:02, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-24 11:30:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 11:30:27, POST, /admin/default/site, HTTP/1.1, 200, 0.054000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:30:28, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:30:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-24 11:30:45, POST, /admin/default/site, HTTP/1.1, 200, 0.058000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001000
